ensembl_id,gene_symbol,protein_name,biotype,association_score
ENSG00000149295,DRD2,dopamine receptor D2,protein_coding,0.746285669
ENSG00000102468,HTR2A,5-hydroxytryptamine receptor 2A,protein_coding,0.703813771
ENSG00000022355,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1,protein_coding,0.682714393
ENSG00000183454,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,protein_coding,0.669436971
ENSG00000108576,SLC6A4,solute carrier family 6 member 4,protein_coding,0.645036654
ENSG00000178394,HTR1A,5-hydroxytryptamine receptor 1A,protein_coding,0.637049935
ENSG00000142319,SLC6A3,solute carrier family 6 member 3,protein_coding,0.629643141
ENSG00000151577,DRD3,dopamine receptor D3,protein_coding,0.62455533
ENSG00000113327,GABRG2,gamma-aminobutyric acid type A receptor subunit gamma2,protein_coding,0.622931479
ENSG00000103546,SLC6A2,solute carrier family 6 member 2,protein_coding,0.621015931
ENSG00000168356,SCN11A,sodium voltage-gated channel alpha subunit 11,protein_coding,0.617375115
ENSG00000145863,GABRA6,gamma-aminobutyric acid type A receptor subunit alpha6,protein_coding,0.613632547
ENSG00000144285,SCN1A,sodium voltage-gated channel alpha subunit 1,protein_coding,0.612570446
ENSG00000151834,GABRA2,gamma-aminobutyric acid type A receptor subunit alpha2,protein_coding,0.610049766
ENSG00000147246,HTR2C,5-hydroxytryptamine receptor 2C,protein_coding,0.609823896
ENSG00000163288,GABRB1,gamma-aminobutyric acid type A receptor subunit beta1,protein_coding,0.609003449
ENSG00000182256,GABRG3,gamma-aminobutyric acid type A receptor subunit gamma3,protein_coding,0.60887369
ENSG00000150594,ADRA2A,adrenoceptor alpha 2A,protein_coding,0.608730395
ENSG00000189221,MAOA,monoamine oxidase A,protein_coding,0.608212522
ENSG00000274286,ADRA2B,adrenoceptor alpha 2B,protein_coding,0.607694298
