uniprot_id,structure_file,status
A0A1Y8EK52,,not_available
A0A7P0PKG8,AF-A0A7P0PKG8-F1-model_v6.pdb,downloaded
A0A1B0GU82,AF-A0A1B0GU82-F1-model_v6.pdb,downloaded
A0A6Q8PGD2,,not_available
P31645,AF-P31645-F1-model_v6.pdb,downloaded
Q5ZGX3,AF-Q5ZGX3-F1-model_v6.pdb,downloaded
A0AAQ5BGN6,AF-A0AAQ5BGN6-F1-model_v6.pdb,downloaded
A0A8V8TLH3,AF-A0A8V8TLH3-F1-model_v6.pdb,downloaded
A0A1W2PPS4,AF-A0A1W2PPS4-F1-model_v6.pdb,downloaded
H3BM11,AF-H3BM11-F1-model_v6.pdb,downloaded
A0A6Q8PGN4,,not_available
H0YAS3,AF-H0YAS3-F1-model_v6.pdb,downloaded
A0A1B0GUX7,AF-A0A1B0GUX7-F1-model_v6.pdb,downloaded
G5E9Z6,AF-G5E9Z6-F1-model_v6.pdb,downloaded
P28335,AF-P28335-F1-model_v6.pdb,downloaded
X5DNL6,AF-X5DNL6-F1-model_v6.pdb,downloaded
A0A0A0MR73,AF-A0A0A0MR73-F1-model_v6.pdb,downloaded
P08913,AF-P08913-F1-model_v6.pdb,downloaded
A0A8I5KUC3,AF-A0A8I5KUC3-F1-model_v6.pdb,downloaded
P18089,AF-P18089-F1-model_v6.pdb,downloaded
G3V408,AF-G3V408-F1-model_v6.pdb,downloaded
A0A6Q8PGT5,AF-A0A6Q8PGT5-F1-model_v6.pdb,downloaded
A0A1W2PR72,,not_available
P34903,AF-P34903-F1-model_v6.pdb,downloaded
P78334,AF-P78334-F1-model_v6.pdb,downloaded
H0YJU6,,not_available
P18825,AF-P18825-F1-model_v6.pdb,downloaded
D6RB66,AF-D6RB66-F1-model_v6.pdb,downloaded
Q8N1C3,AF-Q8N1C3-F1-model_v6.pdb,downloaded
Q9UN88,AF-Q9UN88-F1-model_v6.pdb,downloaded
O00591,AF-O00591-F1-model_v6.pdb,downloaded
Q99250,AF-Q99250-F1-model_v6.pdb,downloaded
P21917,AF-P21917-F1-model_v6.pdb,downloaded
P46098,AF-P46098-F1-model_v6.pdb,downloaded
A0A590UK68,AF-A0A590UK68-F1-model_v6.pdb,downloaded
E9PG18,,not_available
A0AAQ5BH89,AF-A0AAQ5BH89-F1-model_v6.pdb,downloaded
H7C064,AF-H7C064-F1-model_v6.pdb,downloaded
Q9Y5Y9,AF-Q9Y5Y9-F1-model_v6.pdb,downloaded
Q01118,AF-Q01118-F1-model_v6.pdb,downloaded
C9JBM7,AF-C9JBM7-F1-model_v6.pdb,downloaded
P35499,AF-P35499-F1-model_v6.pdb,downloaded
Q5VSF9,AF-Q5VSF9-F1-model_v6.pdb,downloaded
Q8TCU5,AF-Q8TCU5-F1-model_v6.pdb,downloaded
P27338,AF-P27338-F1-model_v6.pdb,downloaded
O15399,AF-O15399-F1-model_v6.pdb,downloaded
H0Y2V8,AF-H0Y2V8-F1-model_v6.pdb,downloaded
O60391,AF-O60391-F1-model_v6.pdb,downloaded
