rank,uniprot_id,drug_chembl_id,true_label,predicted_label,prediction_probability,structure_file,structure_path,structure_exists,pocket_number,Score,Druggability Score,Number of Alpha Spheres,Total SASA,Volume,Mean local hydrophobic density,pocket_found,center_x,center_y,center_z,ligand_pdbqt_file,ligand_status,receptor_pdbqt_file,receptor_exists,ligand_exists
1,P31645,CHEMBL359447,0,1,1.0,AF-P31645-F1-model_v6.pdb,data\raw\structures\AF-P31645-F1-model_v6.pdb,True,1,0.188,0.965,185.0,344.45,1157.86,52.431,True,-0.49162105263157896,-1.6249789473684206,-2.2913368421052636,docking\ligands_pdbqt\CHEMBL359447.pdbqt,success,docking\receptors_pdbqt\P31645_receptor.pdbqt,True,True
2,P31645,CHEMBL443762,0,1,1.0,AF-P31645-F1-model_v6.pdb,data\raw\structures\AF-P31645-F1-model_v6.pdb,True,1,0.188,0.965,185.0,344.45,1157.86,52.431,True,-0.49162105263157896,-1.6249789473684206,-2.2913368421052636,docking\ligands_pdbqt\CHEMBL443762.pdbqt,success,docking\receptors_pdbqt\P31645_receptor.pdbqt,True,True
3,O60391,CHEMBL42307,0,1,1.0,AF-O60391-F1-model_v6.pdb,data\raw\structures\AF-O60391-F1-model_v6.pdb,True,1,0.099,0.003,20.0,64.922,236.928,8.0,True,43.37550000000001,-2.0241363636363636,-53.67904545454547,docking\ligands_pdbqt\CHEMBL42307.pdbqt,success,docking\receptors_pdbqt\O60391_receptor.pdbqt,True,True
4,Q01118,CHEMBL5083410,0,1,1.0,AF-Q01118-F1-model_v6.pdb,data\raw\structures\AF-Q01118-F1-model_v6.pdb,True,1,0.122,0.009,59.0,161.517,568.985,16.062,True,24.520921052631582,10.522894736842108,18.493684210526315,docking\ligands_pdbqt\CHEMBL5083410.pdbqt,success,docking\receptors_pdbqt\Q01118_receptor.pdbqt,True,True
5,P21917,CHEMBL304692,0,1,1.0,AF-P21917-F1-model_v6.pdb,data\raw\structures\AF-P21917-F1-model_v6.pdb,True,1,0.135,0.003,25.0,35.057,138.675,10.0,True,-22.212952380952384,-5.020095238095239,15.092714285714289,docking\ligands_pdbqt\CHEMBL304692.pdbqt,success,docking\receptors_pdbqt\P21917_receptor.pdbqt,True,True
6,Q99250,CHEMBL1278044,0,1,1.0,AF-Q99250-F1-model_v6.pdb,data\raw\structures\AF-Q99250-F1-model_v6.pdb,True,1,0.215,0.229,61.0,88.411,311.011,40.269,True,-19.26330769230769,7.660769230769231,-9.569384615384614,docking\ligands_pdbqt\CHEMBL1278044.pdbqt,success,docking\receptors_pdbqt\Q99250_receptor.pdbqt,True,True
7,Q99250,CHEMBL1277514,0,1,1.0,AF-Q99250-F1-model_v6.pdb,data\raw\structures\AF-Q99250-F1-model_v6.pdb,True,1,0.215,0.229,61.0,88.411,311.011,40.269,True,-19.26330769230769,7.660769230769231,-9.569384615384614,docking\ligands_pdbqt\CHEMBL1277514.pdbqt,success,docking\receptors_pdbqt\Q99250_receptor.pdbqt,True,True
8,Q99250,CHEMBL1270208,0,1,0.9999999,AF-Q99250-F1-model_v6.pdb,data\raw\structures\AF-Q99250-F1-model_v6.pdb,True,1,0.215,0.229,61.0,88.411,311.011,40.269,True,-19.26330769230769,7.660769230769231,-9.569384615384614,docking\ligands_pdbqt\CHEMBL1270208.pdbqt,success,docking\receptors_pdbqt\Q99250_receptor.pdbqt,True,True
9,O60391,CHEMBL130193,0,1,0.99999976,AF-O60391-F1-model_v6.pdb,data\raw\structures\AF-O60391-F1-model_v6.pdb,True,1,0.099,0.003,20.0,64.922,236.928,8.0,True,43.37550000000001,-2.0241363636363636,-53.67904545454547,docking\ligands_pdbqt\CHEMBL130193.pdbqt,success,docking\receptors_pdbqt\O60391_receptor.pdbqt,True,True
10,O00206,CHEMBL387665,0,1,0.99999964,AF-O00206-F1-model_v6.pdb,data\raw\structures\AF-O00206-F1-model_v6.pdb,True,1,0.304,0.029,56.0,115.414,404.917,17.273,True,-27.681975,-5.910549999999999,10.7009,docking\ligands_pdbqt\CHEMBL387665.pdbqt,success,docking\receptors_pdbqt\O00206_receptor.pdbqt,True,True


