rank,uniprot_id,drug_chembl_id,prediction_probability,pocket_number,fpocket_score,druggability_score,center_x,center_y,center_z,best_vina_affinity_kcal_mol,exhaustiveness,number_of_poses,docked_pose_file,status
1,Q9Y5Y9,CHEMBL1631097,1.0,1,0.085,0.337,-23.84283720930233,21.764558139534884,32.343325581395355,-7.636,32,9,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/docking/results/docked_poses/rank_1_Q9Y5Y9_CHEMBL1631097_vina_out.pdbqt,success
2,P21917,CHEMBL304692,1.0,1,0.135,0.003,-22.212952380952384,-5.020095238095239,15.092714285714289,-7.546,32,9,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/docking/results/docked_poses/rank_2_P21917_CHEMBL304692_vina_out.pdbqt,success
3,Q99250,CHEMBL1277514,1.0,1,0.215,0.229,-19.26330769230769,7.660769230769231,-9.569384615384614,-7.658,32,9,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/docking/results/docked_poses/rank_3_Q99250_CHEMBL1277514_vina_out.pdbqt,success
4,Q99250,CHEMBL1278044,1.0,1,0.215,0.229,-19.26330769230769,7.660769230769231,-9.569384615384614,-7.674,32,9,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/docking/results/docked_poses/rank_4_Q99250_CHEMBL1278044_vina_out.pdbqt,success
5,P31645,CHEMBL443762,1.0,1,0.188,0.965,-0.49162105263157896,-1.6249789473684206,-2.2913368421052636,-6.655,32,9,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/docking/results/docked_poses/rank_5_P31645_CHEMBL443762_vina_out.pdbqt,success
6,P31645,CHEMBL359447,1.0,1,0.188,0.965,-0.49162105263157896,-1.6249789473684206,-2.2913368421052636,-7.112,32,9,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/docking/results/docked_poses/rank_6_P31645_CHEMBL359447_vina_out.pdbqt,success
7,O00206,CHEMBL387665,0.9999999,1,0.304,0.029,-27.681975,-5.910549999999999,10.7009,-6.333,32,9,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/docking/results/docked_poses/rank_7_O00206_CHEMBL387665_vina_out.pdbqt,success
8,Q8IWU9,CHEMBL5172715,0.99999964,1,0.124,0.019,2.4228518518518514,5.398333333333333,-0.4911851851851853,20.237,32,9,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/docking/results/docked_poses/rank_8_Q8IWU9_CHEMBL5172715_vina_out.pdbqt,success
9,O60391,CHEMBL42307,0.99999857,1,0.099,0.003,43.37550000000001,-2.0241363636363636,-53.67904545454547,-5.601,32,9,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/docking/results/docked_poses/rank_9_O60391_CHEMBL42307_vina_out.pdbqt,success
10,O60391,CHEMBL130193,0.99999475,1,0.099,0.003,43.37550000000001,-2.0241363636363636,-53.67904545454547,-5.775,32,9,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/docking/results/docked_poses/rank_10_O60391_CHEMBL130193_vina_out.pdbqt,success
