rank,uniprot_id,drug_chembl_id,prediction_probability,pocket_number,fpocket_score,druggability_score,center_x,center_y,center_z,best_vina_affinity_kcal_mol,exhaustiveness,number_of_poses,docked_pose_file,status,docking_qc_class,true_label,predicted_label,gnn_predicted_label
1,P31645,CHEMBL359447,1.0,1,0.188,0.965,-0.4916210526315789,-1.6249789473684206,-2.291336842105264,-5.248,32,9,C:\dev\Depression-Drug-Target-AI\docking\results\docked_poses\rank_1_P31645_CHEMBL359447_vina_out.pdbqt,success,valid_negative_affinity,0,1,1
2,P31645,CHEMBL443762,1.0,1,0.188,0.965,-0.4916210526315789,-1.6249789473684206,-2.291336842105264,-6.654,32,9,C:\dev\Depression-Drug-Target-AI\docking\results\docked_poses\rank_2_P31645_CHEMBL443762_vina_out.pdbqt,success,valid_negative_affinity,0,1,1
3,O60391,CHEMBL42307,1.0,1,0.099,0.003,43.37550000000001,-2.024136363636364,-53.67904545454547,-5.597,32,9,C:\dev\Depression-Drug-Target-AI\docking\results\docked_poses\rank_3_O60391_CHEMBL42307_vina_out.pdbqt,success,valid_negative_affinity,0,1,1
4,Q01118,CHEMBL5083410,1.0,1,0.122,0.009,24.520921052631586,10.522894736842108,18.493684210526315,-7.574,32,9,C:\dev\Depression-Drug-Target-AI\docking\results\docked_poses\rank_4_Q01118_CHEMBL5083410_vina_out.pdbqt,success,valid_negative_affinity,0,1,1
5,P21917,CHEMBL304692,1.0,1,0.135,0.003,-22.212952380952384,-5.020095238095239,15.092714285714289,-7.557,32,9,C:\dev\Depression-Drug-Target-AI\docking\results\docked_poses\rank_5_P21917_CHEMBL304692_vina_out.pdbqt,success,valid_negative_affinity,0,1,1
6,Q99250,CHEMBL1278044,1.0,1,0.215,0.229,-19.26330769230769,7.660769230769231,-9.569384615384614,-7.69,32,9,C:\dev\Depression-Drug-Target-AI\docking\results\docked_poses\rank_6_Q99250_CHEMBL1278044_vina_out.pdbqt,success,valid_negative_affinity,0,1,1
7,Q99250,CHEMBL1277514,1.0,1,0.215,0.229,-19.26330769230769,7.660769230769231,-9.569384615384614,-7.638,32,9,C:\dev\Depression-Drug-Target-AI\docking\results\docked_poses\rank_7_Q99250_CHEMBL1277514_vina_out.pdbqt,success,valid_negative_affinity,0,1,1
8,Q99250,CHEMBL1270208,0.9999999,1,0.215,0.229,-19.26330769230769,7.660769230769231,-9.569384615384614,-6.412,32,9,C:\dev\Depression-Drug-Target-AI\docking\results\docked_poses\rank_8_Q99250_CHEMBL1270208_vina_out.pdbqt,success,valid_negative_affinity,0,1,1
9,O60391,CHEMBL130193,0.99999976,1,0.099,0.003,43.37550000000001,-2.024136363636364,-53.67904545454547,-5.72,32,9,C:\dev\Depression-Drug-Target-AI\docking\results\docked_poses\rank_9_O60391_CHEMBL130193_vina_out.pdbqt,success,valid_negative_affinity,0,1,1
10,O00206,CHEMBL387665,0.99999964,1,0.304,0.029,-27.681975,-5.910549999999999,10.7009,-6.344,32,9,C:\dev\Depression-Drug-Target-AI\docking\results\docked_poses\rank_10_O00206_CHEMBL387665_vina_out.pdbqt,success,valid_negative_affinity,0,1,1
