ensembl_id,uniprot_id,protein_name,length,embedding_index
ENSG00000149295,A0A1Y8EK52,,7,0
ENSG00000102468,A0A7P0PKG8,5-hydroxytryptamine receptor 2A,308,1
ENSG00000022355,A0A1B0GU82,,70,2
ENSG00000183454,A0A6Q8PGD2,Glutamate receptor,1307,3
ENSG00000108576,P31645,Sodium-dependent serotonin transporter,630,4
ENSG00000178394,Q5ZGX3,5-hydroxytryptamine receptor 1A,422,5
ENSG00000142319,A0AAQ5BGN6,Transporter,572,6
ENSG00000151577,A0A8V8TLH3,D(3) dopamine receptor,257,7
ENSG00000113327,A0A1W2PPS4,Gamma-aminobutyric acid receptor subunit gamma-2,385,8
ENSG00000103546,H3BM11,Transporter,561,9
ENSG00000168356,A0A6Q8PGN4,Sodium channel protein,1731,10
ENSG00000145863,H0YAS3,,191,11
ENSG00000144285,A0A1B0GUX7,,829,12
ENSG00000151834,G5E9Z6,Gamma-aminobutyric acid receptor subunit alpha-2,367,13
ENSG00000147246,P28335,5-hydroxytryptamine receptor 2C,458,14
ENSG00000163288,X5DNL6,Gamma-aminobutyric acid receptor subunit beta-1,474,15
ENSG00000182256,A0A0A0MR73,,288,16
ENSG00000150594,P08913,Alpha-2A adrenergic receptor,465,17
ENSG00000189221,A0A8I5KUC3,Amine oxidase,492,18
ENSG00000274286,P18089,Alpha-2B adrenergic receptor,450,19
ENSG00000186297,G3V408,,86,20
ENSG00000145864,A0A6Q8PGT5,,205,21
ENSG00000187730,A0A1W2PR72,,168,22
ENSG00000011677,P34903,Gamma-aminobutyric acid receptor subunit alpha-3,492,23
ENSG00000102287,P78334,Gamma-aminobutyric acid receptor subunit epsilon,506,24
ENSG00000166206,H0YJU6,,44,25
ENSG00000184160,P18825,Alpha-2C adrenergic receptor,462,26
ENSG00000109158,D6RB66,,36,27
ENSG00000163285,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1,465,28
ENSG00000268089,Q9UN88,Gamma-aminobutyric acid receptor subunit theta,632,29
ENSG00000094755,O00591,Gamma-aminobutyric acid receptor subunit pi,440,30
ENSG00000136531,Q99250,Sodium channel protein type 2 subunit alpha,2005,31
ENSG00000069696,P21917,D(4) dopamine receptor,419,32
ENSG00000166736,P46098,5-hydroxytryptamine receptor 3A,478,33
ENSG00000196876,A0A590UK68,,759,34
ENSG00000183873,E9PG18,Sodium channel protein,1998,35
ENSG00000273079,A0AAQ5BH89,Glutamate receptor,677,36
ENSG00000169432,H7C064,,378,37
