rank,uniprot_id,drug_chembl_id,true_label,predicted_label,prediction_probability,structure_file,structure_path,structure_exists,pocket_number,Score,Druggability Score,Number of Alpha Spheres,Total SASA,Volume,Mean local hydrophobic density,pocket_found
1,Q9Y5Y9,CHEMBL1631097,0,1,1.0,AF-Q9Y5Y9-F1-model_v6.pdb,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/data/raw/structures/AF-Q9Y5Y9-F1-model_v6.pdb,True,1,0.085,0.337,71.0,129.609,493.487,44.36,True
2,P21917,CHEMBL304692,0,1,1.0,AF-P21917-F1-model_v6.pdb,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/data/raw/structures/AF-P21917-F1-model_v6.pdb,True,1,0.135,0.003,25.0,35.057,132.385,10.0,True
3,Q99250,CHEMBL1277514,0,1,1.0,AF-Q99250-F1-model_v6.pdb,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/data/raw/structures/AF-Q99250-F1-model_v6.pdb,True,1,0.215,0.229,61.0,88.411,308.01,40.269,True
4,Q99250,CHEMBL1278044,0,1,1.0,AF-Q99250-F1-model_v6.pdb,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/data/raw/structures/AF-Q99250-F1-model_v6.pdb,True,1,0.215,0.229,61.0,88.411,308.01,40.269,True
5,P31645,CHEMBL443762,0,1,1.0,AF-P31645-F1-model_v6.pdb,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/data/raw/structures/AF-P31645-F1-model_v6.pdb,True,1,0.188,0.965,185.0,344.45,1193.327,52.431,True
6,P31645,CHEMBL359447,0,1,1.0,AF-P31645-F1-model_v6.pdb,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/data/raw/structures/AF-P31645-F1-model_v6.pdb,True,1,0.188,0.965,185.0,344.45,1193.327,52.431,True
7,O00206,CHEMBL387665,0,1,0.9999999,AF-O00206-F1-model_v6.pdb,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/data/raw/structures/AF-O00206-F1-model_v6.pdb,True,1,0.304,0.029,56.0,115.414,400.8,17.273,True
8,Q8IWU9,CHEMBL5172715,0,1,0.99999964,AF-Q8IWU9-F1-model_v6.pdb,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/data/raw/structures/AF-Q8IWU9-F1-model_v6.pdb,True,1,0.124,0.019,48.0,57.418,240.239,26.0,True
9,O60391,CHEMBL42307,0,1,0.99999857,AF-O60391-F1-model_v6.pdb,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/data/raw/structures/AF-O60391-F1-model_v6.pdb,True,1,0.099,0.003,20.0,64.922,241.101,8.0,True
10,O60391,CHEMBL130193,0,1,0.99999475,AF-O60391-F1-model_v6.pdb,/content/drive/MyDrive/Dissertation/Depression-Drug-Target-AI/data/raw/structures/AF-O60391-F1-model_v6.pdb,True,1,0.099,0.003,20.0,64.922,241.101,8.0,True
