final_rank,uniprot_id,drug_chembl_id,prediction_probability,best_vina_affinity_kcal_mol,gnn_rank,docking_rank,fpocket_score,druggability_score,pocket_number,docking_qc_class,docking_available
1,Q99250,CHEMBL1278044,1.0,-7.69,520,1,0.215,0.229,1,valid_negative_affinity,True
2,Q99250,CHEMBL1277514,1.0,-7.638,521,2,0.215,0.229,1,valid_negative_affinity,True
3,Q01118,CHEMBL5083410,1.0,-7.574,334,3,0.122,0.009,1,valid_negative_affinity,True
4,P21917,CHEMBL304692,1.0,-7.557,494,4,0.135,0.003,1,valid_negative_affinity,True
5,P31645,CHEMBL443762,1.0,-6.654,23,5,0.188,0.965,1,valid_negative_affinity,True
6,Q99250,CHEMBL1270208,1.0,-6.412,719,6,0.215,0.229,1,valid_negative_affinity,True
7,O00206,CHEMBL387665,1.0,-6.344,872,7,0.304,0.029,1,valid_negative_affinity,True
8,O60391,CHEMBL130193,1.0,-5.72,787,8,0.099,0.003,1,valid_negative_affinity,True
9,O60391,CHEMBL42307,1.0,-5.597,164,9,0.099,0.003,1,valid_negative_affinity,True
10,P31645,CHEMBL359447,1.0,-5.248,22,10,0.188,0.965,1,valid_negative_affinity,True
